step: 00, Kinetic: 2.17675e+04, Thermal: 8.72157e+04, Max Div: 1.50635e-12
step: 01, Kinetic: 2.17671e+04, Thermal: 8.72129e+04, Max Div: 5.68434e-14
step: 02, Kinetic: 2.17667e+04, Thermal: 8.72101e+04, Max Div: 6.30607e-14
step: 03, Kinetic: 2.17663e+04, Thermal: 8.72074e+04, Max Div: 6.39488e-14
step: 04, Kinetic: 2.17659e+04, Thermal: 8.72046e+04, Max Div: 5.32907e-14
step: 05, Kinetic: 2.17655e+04, Thermal: 8.72018e+04, Max Div: 4.61853e-14
step: 06, Kinetic: 2.17652e+04, Thermal: 8.71990e+04, Max Div: 4.61853e-14
step: 07, Kinetic: 2.17648e+04, Thermal: 8.71962e+04, Max Div: 4.97380e-14
step: 08, Kinetic: 2.17644e+04, Thermal: 8.71934e+04, Max Div: 4.61853e-14
step: 09, Kinetic: 2.17640e+04, Thermal: 8.71905e+04, Max Div: 6.03961e-14
step: 10, Kinetic: 2.17636e+04, Thermal: 8.71877e+04, Max Div: 4.97380e-14
step: 11, Kinetic: 2.17632e+04, Thermal: 8.71849e+04, Max Div: 5.68434e-14
step: 12, Kinetic: 2.17628e+04, Thermal: 8.71820e+04, Max Div: 7.10543e-14
step: 13, Kinetic: 2.17624e+04, Thermal: 8.71791e+04, Max Div: 5.68434e-14
step: 14, Kinetic: 2.17620e+04, Thermal: 8.71763e+04, Max Div: 5.68434e-14
step: 15, Kinetic: 2.17616e+04, Thermal: 8.71734e+04, Max Div: 4.97380e-14
step: 16, Kinetic: 2.17612e+04, Thermal: 8.71706e+04, Max Div: 4.97380e-14
step: 17, Kinetic: 2.17608e+04, Thermal: 8.71677e+04, Max Div: 5.68434e-14
step: 18, Kinetic: 2.17604e+04, Thermal: 8.71649e+04, Max Div: 5.68434e-14
step: 19, Kinetic: 2.17600e+04, Thermal: 8.71620e+04, Max Div: 5.68434e-14
step: 20, Kinetic: 2.17596e+04, Thermal: 8.71592e+04, Max Div: 5.32907e-14
step: 21, Kinetic: 2.17592e+04, Thermal: 8.71563e+04, Max Div: 6.97220e-14
step: 22, Kinetic: 2.17588e+04, Thermal: 8.71535e+04, Max Div: 6.39488e-14
step: 23, Kinetic: 2.17584e+04, Thermal: 8.71507e+04, Max Div: 5.32907e-14
step: 24, Kinetic: 2.17580e+04, Thermal: 8.71479e+04, Max Div: 5.32907e-14
step: 25, Kinetic: 2.17576e+04, Thermal: 8.71451e+04, Max Div: 5.81757e-14
step: 26, Kinetic: 2.17572e+04, Thermal: 8.71423e+04, Max Div: 5.68434e-14
step: 27, Kinetic: 2.17568e+04, Thermal: 8.71395e+04, Max Div: 5.68434e-14
step: 28, Kinetic: 2.17564e+04, Thermal: 8.71367e+04, Max Div: 5.68434e-14
step: 29, Kinetic: 2.17560e+04, Thermal: 8.71339e+04, Max Div: 6.03961e-14
step: 30, Kinetic: 2.17556e+04, Thermal: 8.71311e+04, Max Div: 5.68434e-14
step: 31, Kinetic: 2.17552e+04, Thermal: 8.71284e+04, Max Div: 4.97380e-14
step: 32, Kinetic: 2.17548e+04, Thermal: 8.71256e+04, Max Div: 5.68434e-14
step: 33, Kinetic: 2.17543e+04, Thermal: 8.71228e+04, Max Div: 5.68434e-14
step: 34, Kinetic: 2.17539e+04, Thermal: 8.71200e+04, Max Div: 5.68434e-14
step: 35, Kinetic: 2.17535e+04, Thermal: 8.71172e+04, Max Div: 5.32907e-14
step: 36, Kinetic: 2.17531e+04, Thermal: 8.71144e+04, Max Div: 7.10543e-14
step: 37, Kinetic: 2.17527e+04, Thermal: 8.71117e+04, Max Div: 6.48370e-14
step: 38, Kinetic: 2.17523e+04, Thermal: 8.71089e+04, Max Div: 5.68434e-14
step: 39, Kinetic: 2.17518e+04, Thermal: 8.71061e+04, Max Div: 5.68434e-14
step: 40, Kinetic: 2.17514e+04, Thermal: 8.71033e+04, Max Div: 5.68434e-14
step: 41, Kinetic: 2.17510e+04, Thermal: 8.71006e+04, Max Div: 7.10543e-14
step: 42, Kinetic: 2.17506e+04, Thermal: 8.70978e+04, Max Div: 5.68434e-14
step: 43, Kinetic: 2.17501e+04, Thermal: 8.70950e+04, Max Div: 5.68434e-14
step: 44, Kinetic: 2.17497e+04, Thermal: 8.70922e+04, Max Div: 5.68434e-14
step: 45, Kinetic: 2.17493e+04, Thermal: 8.70895e+04, Max Div: 5.68434e-14
step: 46, Kinetic: 2.17489e+04, Thermal: 8.70867e+04, Max Div: 8.52651e-14
step: 47, Kinetic: 2.17484e+04, Thermal: 8.70839e+04, Max Div: 5.68434e-14
step: 48, Kinetic: 2.17480e+04, Thermal: 8.70812e+04, Max Div: 5.68434e-14
step: 49, Kinetic: 2.17476e+04, Thermal: 8.70784e+04, Max Div: 4.97380e-14
step: 50, Kinetic: 2.17471e+04, Thermal: 8.70756e+04, Max Div: 5.68434e-14
step: 51, Kinetic: 2.17467e+04, Thermal: 8.70729e+04, Max Div: 5.68434e-14
step: 52, Kinetic: 2.17463e+04, Thermal: 8.70701e+04, Max Div: 5.68434e-14
step: 53, Kinetic: 2.17458e+04, Thermal: 8.70674e+04, Max Div: 5.68434e-14
step: 54, Kinetic: 2.17454e+04, Thermal: 8.70646e+04, Max Div: 5.68434e-14
step: 55, Kinetic: 2.17450e+04, Thermal: 8.70618e+04, Max Div: 5.68434e-14
step: 56, Kinetic: 2.17445e+04, Thermal: 8.70591e+04, Max Div: 5.68434e-14
step: 57, Kinetic: 2.17441e+04, Thermal: 8.70563e+04, Max Div: 5.68434e-14
step: 58, Kinetic: 2.17436e+04, Thermal: 8.70536e+04, Max Div: 5.68434e-14
step: 59, Kinetic: 2.17432e+04, Thermal: 8.70508e+04, Max Div: 5.68434e-14
step: 60, Kinetic: 2.17428e+04, Thermal: 8.70481e+04, Max Div: 5.68434e-14
step: 61, Kinetic: 2.17423e+04, Thermal: 8.70453e+04, Max Div: 5.68434e-14
step: 62, Kinetic: 2.17419e+04, Thermal: 8.70426e+04, Max Div: 6.83897e-14
step: 63, Kinetic: 2.17415e+04, Thermal: 8.70398e+04, Max Div: 5.68434e-14
step: 64, Kinetic: 2.17410e+04, Thermal: 8.70371e+04, Max Div: 6.39488e-14
step: 65, Kinetic: 2.17406e+04, Thermal: 8.70343e+04, Max Div: 4.97380e-14
step: 66, Kinetic: 2.17402e+04, Thermal: 8.70316e+04, Max Div: 6.39488e-14
step: 67, Kinetic: 2.17397e+04, Thermal: 8.70288e+04, Max Div: 5.68434e-14
step: 68, Kinetic: 2.17393e+04, Thermal: 8.70260e+04, Max Div: 5.68434e-14
step: 69, Kinetic: 2.17389e+04, Thermal: 8.70233e+04, Max Div: 5.68434e-14
step: 70, Kinetic: 2.17384e+04, Thermal: 8.70205e+04, Max Div: 5.32907e-14
step: 71, Kinetic: 2.17380e+04, Thermal: 8.70177e+04, Max Div: 5.68434e-14
step: 72, Kinetic: 2.17376e+04, Thermal: 8.70150e+04, Max Div: 6.39488e-14
step: 73, Kinetic: 2.17372e+04, Thermal: 8.70122e+04, Max Div: 5.32907e-14
step: 74, Kinetic: 2.17367e+04, Thermal: 8.70094e+04, Max Div: 6.39488e-14
step: 75, Kinetic: 2.17363e+04, Thermal: 8.70066e+04, Max Div: 5.68434e-14
step: 76, Kinetic: 2.17359e+04, Thermal: 8.70038e+04, Max Div: 5.95080e-14
step: 77, Kinetic: 2.17354e+04, Thermal: 8.70011e+04, Max Div: 6.03961e-14
step: 78, Kinetic: 2.17350e+04, Thermal: 8.69983e+04, Max Div: 7.10543e-14
step: 79, Kinetic: 2.17346e+04, Thermal: 8.69955e+04, Max Div: 5.68434e-14
step: 80, Kinetic: 2.17341e+04, Thermal: 8.69928e+04, Max Div: 6.03961e-14
step: 81, Kinetic: 2.17337e+04, Thermal: 8.69900e+04, Max Div: 5.68434e-14
step: 82, Kinetic: 2.17333e+04, Thermal: 8.69873e+04, Max Div: 5.68434e-14
step: 83, Kinetic: 2.17328e+04, Thermal: 8.69845e+04, Max Div: 4.97380e-14
step: 84, Kinetic: 2.17324e+04, Thermal: 8.69818e+04, Max Div: 6.39488e-14
step: 85, Kinetic: 2.17320e+04, Thermal: 8.69791e+04, Max Div: 5.86198e-14
step: 86, Kinetic: 2.17315e+04, Thermal: 8.69763e+04, Max Div: 5.68434e-14
step: 87, Kinetic: 2.17311e+04, Thermal: 8.69736e+04, Max Div: 5.68434e-14
step: 88, Kinetic: 2.17307e+04, Thermal: 8.69709e+04, Max Div: 7.10543e-14
step: 89, Kinetic: 2.17302e+04, Thermal: 8.69682e+04, Max Div: 5.68434e-14
step: 90, Kinetic: 2.17298e+04, Thermal: 8.69654e+04, Max Div: 6.03961e-14
step: 91, Kinetic: 2.17294e+04, Thermal: 8.69627e+04, Max Div: 5.68434e-14
step: 92, Kinetic: 2.17289e+04, Thermal: 8.69600e+04, Max Div: 4.97380e-14
step: 93, Kinetic: 2.17285e+04, Thermal: 8.69573e+04, Max Div: 5.68434e-14
step: 94, Kinetic: 2.17281e+04, Thermal: 8.69545e+04, Max Div: 5.68434e-14
step: 95, Kinetic: 2.17276e+04, Thermal: 8.69518e+04, Max Div: 5.68434e-14
step: 96, Kinetic: 2.17272e+04, Thermal: 8.69491e+04, Max Div: 5.68434e-14
step: 97, Kinetic: 2.17268e+04, Thermal: 8.69464e+04, Max Div: 5.68434e-14
